Date,hr_usd_IS,rho_usd_IS,hr_eur_IS,rho_eur_IS
2015-02-03,0.9341908986338489,0.7608066855082244,0.6241433212434859,0.4788047624700554
2015-02-04,0.9294732298347091,0.7626240543980193,0.6091270109742334,0.44388173234911416
2015-02-05,0.9769267214737585,0.7587494546503735,0.41421412986748446,0.31659874561149415
2015-02-06,0.9825531620419087,0.7597182545364621,0.43905780083660084,0.3230451289679083
2015-02-09,1.021990379128881,0.7429056861878269,0.4944676542903445,0.3522495972523106
2015-02-10,0.7894727682234745,0.7260098516100245,0.49901237956235317,0.35976561672470575
2015-02-11,0.8054133522641975,0.719558684005009,0.5140466577460688,0.3754952705581893
2015-02-12,0.8022450155813933,0.7200360801502181,0.5498548839850135,0.4091484277869739
2015-02-13,0.8186044552328816,0.71509545878653,0.5775287253631962,0.4350363560356514
2015-02-16,0.8151369422465313,0.7161806683330006,0.5289645829054411,0.4098838119069748
2015-02-18,0.8164948465430873,0.7159731897688612,0.5478529330501298,0.4270671471600801
2015-02-20,0.7991271511674904,0.7101177072046403,0.5424650733285733,0.42522545913545695
2015-02-23,0.7865451907691684,0.7041536165156931,0.5299485670337836,0.4311962122630798
2015-02-24,0.788282751743899,0.7049314155080488,0.5538243297022092,0.45209648622786536
2015-02-25,0.7841106918200847,0.703852322753434,0.5606364002322723,0.4612764958224232
2015-02-26,0.8095235292843597,0.715771167694947,0.5654716128494014,0.465469476153844
2015-02-27,0.801545249506165,0.7050883820621728,0.47475171897811863,0.329879841619949
2015-03-02,0.783125673048739,0.6965022056969575,0.4632054972254183,0.3493170340691274
2015-03-03,0.8207178487184423,0.6943806283000304,0.5026678300634787,0.3811523893934202
2015-03-04,0.8226693887849219,0.6943570091782106,0.5184882531217414,0.40690011134084075
2015-03-05,0.9704390437547912,0.7171663388382337,0.535487843181819,0.4241635311474455
2015-03-09,0.9667325362623387,0.7137498674560413,0.5451844732174008,0.4558133125671409
2015-03-10,0.8702916082332431,0.7194459365523824,0.6950673895186154,0.5786930575469487
2015-03-11,0.8473657086580489,0.7194234232162142,0.7748875825032089,0.6279618670726611
2015-03-12,0.8471249768488308,0.7200748787083477,0.7763494233834566,0.6783748704186189
2015-03-13,0.8073546985034974,0.7277395191468459,0.7308050864936104,0.6345110710943934
2015-03-16,0.858123931369953,0.7545321442904002,0.6477878031307234,0.566887916657217
2015-03-17,0.8729853180255901,0.757381843448936,0.5506359735917458,0.5023119903809686
2015-03-18,0.8752191074676637,0.7588566109287407,0.5256507790488303,0.49103818171440133
2015-03-19,0.8793364085327248,0.7580507249982033,0.573946802627446,0.3694210265653412
2015-03-20,0.8704339048908444,0.7616671691396719,0.5173120688159641,0.2952206218572356
2015-03-23,0.8694301384532438,0.7622313648496684,0.5473314053618697,0.2981649837404869
2015-03-24,0.8666664911056247,0.7649809735897418,0.5850178131659881,0.3666416704243607
2015-03-25,0.872358439917849,0.7613131138193199,0.5580451609435909,0.37206908414239337
2015-03-26,0.8711987270256069,0.7616461370915524,0.5979639550777006,0.39976079956191324
2015-03-27,0.9156857420373249,0.7739299722938098,0.574331568034255,0.3991579462677943
2015-03-30,0.9393178981319766,0.7735467398899175,0.5656706359970537,0.4279155981904429
2015-03-31,0.7963451485490557,0.7477797413509334,0.5651232532561105,0.42791980578110667
2015-04-06,0.8027701752180498,0.7506088108953423,0.6677293101032942,0.5100660079531727
2015-04-07,0.7520034296634145,0.7448325234176393,0.7477937419807485,0.6018453566491188
2015-04-08,0.756623480943412,0.7452400991643717,0.72305770706527,0.5988488325480653
2015-04-09,0.761256457467442,0.7451127907264457,0.6864134802491056,0.5692476439757718
2015-04-10,0.7659033944610742,0.7410509914300818,0.6872399249286278,0.5797254911517163
2015-04-13,0.7641106410055575,0.7396938877203867,0.6084399853226566,0.5607420784391154
2015-04-15,0.7534549875045363,0.7418595794066812,0.5836219359000447,0.5423910468532611
2015-04-16,0.744218196101337,0.7412827314916128,0.5941106396780165,0.5330020283734224
2015-04-17,0.736142446284909,0.7407733312690495,0.5816632317404441,0.5412288879557912
2015-04-20,0.7729826851430137,0.7361914232600186,0.5890276819586396,0.5502823508426845
2015-04-21,0.8187897799584979,0.7714300280290495,0.5706471584602419,0.5359941659494557
2015-04-22,0.8357912021458906,0.7669915209783394,0.5632856238757248,0.5340452994963175
2015-04-23,0.842508135379241,0.7643509915985804,0.5254591807942655,0.5137428152439648
2015-04-24,0.7941357442476706,0.7699303269476968,0.5677780364395302,0.5092570604985731
2015-04-27,0.8368189700486548,0.7736894104208832,0.6042344172455688,0.5544848343633523
2015-04-28,0.8559863081060999,0.7715631548639724,0.5812361141382575,0.5345219363990142
2015-04-29,0.868197461709059,0.7736745081640409,0.5675349239646393,0.5221114119897348
2015-04-30,0.8913702202820326,0.7807983230592263,0.731579833018766,0.630705399506269
2015-05-05,0.8840376256195882,0.7804821464738652,0.6451007908585918,0.6177060809074858
2015-05-06,0.890604967778045,0.7798978226751331,0.6201994385949704,0.5958103671475444
2015-05-07,0.9170780672905701,0.7791928533160698,0.6907906049959878,0.6079252166317725
2015-05-08,0.8102204164403226,0.7873077037883264,0.5164202553412337,0.5129286232304382
2015-05-11,0.8185363375631157,0.790841515133673,0.5390252554711951,0.5468247935116759
2015-05-12,0.8373105564538179,0.7784460501897068,0.5049046078277939,0.5231047459251114
2015-05-13,0.8138200010454475,0.7782226786815949,0.5009355114986427,0.5386420468143243
2015-05-14,0.8112424872186093,0.7790399999060781,0.4508241774272108,0.46927226154156354
2015-05-15,0.8496900152203816,0.7868226623985044,0.381714580025708,0.4117179374190435
2015-05-18,0.8447392352598687,0.7839070289863771,0.3596428306127655,0.39294928322486844
2015-05-19,0.8630378494299425,0.7851888105987727,0.32598452284147905,0.3569607547182988
2015-05-20,0.8642474868472826,0.7841376668650482,0.4366674779737146,0.4931701730889313
2015-05-21,0.8457864967911134,0.7730846227900985,0.4481054135140371,0.5032067491009077
2015-05-22,0.8213573276128956,0.7682610429451895,0.4415072935230756,0.49838509425578764
2015-05-25,0.8199290716004827,0.7687280961898153,0.4348344702438762,0.47641426883458193
2015-05-26,0.8216719179698007,0.7686628575073916,0.4011701607611889,0.4742748188121307
2015-05-27,0.8546544147683988,0.7797617526178539,0.3990035982099138,0.4735442107713826
2015-05-28,0.8601911276688835,0.7788218019149726,0.3989507942379253,0.47589743150344455
2015-05-29,0.8282912744206833,0.769972155303081,0.40110509549605844,0.47851240076670104
2015-06-01,0.8296061676429097,0.7696169042184546,0.40458674767553776,0.48840406432737987
2015-06-02,0.8311603802105308,0.7709072101805656,0.42842830786034747,0.5102135883446786
2015-06-03,0.8322845964724681,0.7714281654060546,0.5951734567655278,0.5889255557154424
2015-06-04,0.876026002409603,0.7670939149551582,0.635778159534688,0.5897239253785697
2015-06-05,0.8754162696689105,0.7660566669324642,0.40684132089086006,0.437825300650392
2015-06-08,0.8658902786344765,0.7690186663402276,0.472509946357739,0.5058883396145066
2015-06-09,0.8264954489743347,0.7700110549287732,0.4504672283880313,0.4310845442773251
2015-06-10,0.8056044217594689,0.7611771607222139,0.4398173256201615,0.4335689805277353
2015-06-11,0.8202899776743293,0.7601052293264368,0.4480321861353886,0.44485753459402644
2015-06-12,0.8386058582408576,0.7604284169291128,0.4541736492055603,0.4527984433801715
2015-06-15,0.8447435515423484,0.7617028606862006,0.4400437700036143,0.4429222314034338
2015-06-16,0.8460657710384492,0.7614595664868126,0.4473539117893635,0.4541814916803968
2015-06-17,0.8387970402724805,0.7618381279441387,0.4282700616205469,0.4431664009008574
2015-06-18,0.840581340902824,0.7641266831637342,0.4244962830142128,0.43611794395798176
2015-06-19,0.8293541580275525,0.7827317332386995,0.39075805053028106,0.4066278471062105
2015-06-22,0.8055669059025117,0.7805490158567334,0.3825532889699866,0.42001839477304703
2015-06-23,0.8061404356741101,0.7798150147090004,0.38904988120770495,0.43158899755634383
2015-06-24,0.8109738895587816,0.7799207210496084,0.4853783488879516,0.5172048587864114
2015-06-25,0.8129619385858885,0.7777834102472992,0.47208031766754693,0.5052486128253352
2015-06-26,0.8129077815778749,0.7774477005291934,0.46384939775801803,0.4992206728322115
2015-06-29,0.8156001587231562,0.7764225787654155,0.45713375702791276,0.48986405743729944
2015-06-30,0.6136857878045409,0.766468541687726,0.4764893310608157,0.48185203533473214
2015-07-01,0.6064918565192994,0.7677913486179866,0.44236402975075434,0.4294166099014721
2015-07-02,0.6081079055802843,0.7681289334244216,0.4962209665556665,0.4803626760805358
2015-07-03,0.6249701478539721,0.7648765168134779,0.4884481059311825,0.4800705713720984
2015-07-06,0.6276406933897322,0.7581321814755242,0.4928177348904246,0.48174977448515066
2015-07-07,0.6349322261953232,0.7551569428275542,0.5268929454696499,0.515412112035979
2015-07-08,0.6623076972364387,0.7474691645641313,0.5039108515883823,0.5020801399762195
2015-07-09,0.6551981894305472,0.7447492775904171,0.5194275695786676,0.518336641618442
2015-07-10,0.6509099611243763,0.7484268226668148,0.5029782412352389,0.49516908654223546
2015-07-13,0.651527469261221,0.7468709055708233,0.592044229126456,0.5833839125340705
2015-07-14,0.6494030876434457,0.7484650050030166,0.6401521822657811,0.6084127858825644
2015-07-15,0.6590849842148556,0.7499795000840251,0.5969121232927226,0.5787362367254123
2015-07-16,0.6929909310735345,0.7371963726518858,0.5699927947796235,0.554798574828453
2015-07-17,0.6905900654266719,0.7345313455665018,0.5719784359353216,0.5745240312109882
2015-07-20,0.6855957534948265,0.7314641096701759,0.5512745846919864,0.5532145926998355
2015-07-21,0.6715499379743374,0.7339914545379124,0.5265511941666076,0.5308864450462162
2015-07-22,0.6674594541054455,0.7333002228286469,0.5285246595526746,0.5002903519455405
2015-07-23,0.6693098524682574,0.7332842502453427,0.4884032251289059,0.4766198098273223
2015-07-24,0.7637041855200138,0.7313143687905195,0.558321388667856,0.5324978041824974
2015-07-27,0.7482543148142515,0.7376522486977654,0.5409411550106247,0.5158970868703489
2015-07-28,0.7368690532359455,0.739107345905981,0.6073133926680434,0.5926722502539983
2015-07-29,0.7710284434482767,0.7543214942474104,0.618920157250492,0.6006717037915659
2015-07-30,0.7719442275391569,0.7538245018007492,0.5707893475618889,0.5473706032210747
2015-07-31,0.7023222879311021,0.7672827243620871,0.5494463590589196,0.5305725158439174
