Date,hr_usd_OOS,rho_usd_OOS,hr_eur_OOS,rho_eur_OOS
2024-01-01,0.6438564750565063,0.6906503436580494,0.4677480111792001,0.4112877058640661
2024-01-02,0.6482716658684606,0.6917254981164453,0.4865711667317945,0.42992077739202844
2024-01-03,0.6262502108780721,0.6900292682385698,0.5804650165266435,0.49130814090303854
2024-01-04,0.624287230218538,0.6888842768828896,0.5510416134474937,0.48619270519914587
2024-01-05,0.6270003015432941,0.6905855488550198,0.5493512906220366,0.4881959780540894
2024-01-08,0.6465830201219739,0.6984311204854361,0.5443620882138798,0.4930914378467555
2024-01-09,0.650821551133571,0.6971600100594532,0.5272149304218396,0.4838952344907519
2024-01-10,0.65647951977163,0.6932467869134533,0.5246184233856239,0.48486877806156686
2024-01-11,0.6604828312953946,0.699455830686523,0.52523046819943,0.4827663702984833
2024-01-12,0.6590330444190386,0.6956721404627121,0.5182578100557654,0.48138381381877837
2024-01-15,0.7027874234471218,0.6940111371080527,0.5439825583296547,0.5009648953251358
2024-01-16,0.6958878298442822,0.6949621738253735,0.5331216821173177,0.4954048069311054
2024-01-17,0.746943439095946,0.7311664741764117,0.5494398341917905,0.5093339848856597
2024-01-18,0.7593147986931343,0.7270595569785954,0.5359659681538148,0.49661877211383637
2024-01-19,0.7592963674277041,0.7273431779523573,0.521774022161336,0.48628760204305993
2024-01-23,0.7591466043656515,0.7304002766284811,0.5097506161249141,0.4770040142395096
2024-01-24,0.7503667071222412,0.7320832708385485,0.5139014029834832,0.4731633379660288
2024-01-25,0.7495871788214131,0.7325786145931789,0.5335409533506718,0.48950487359852746
2024-01-29,0.7467106836380024,0.7315975909660268,0.5373645025844319,0.48837358289715305
2024-01-30,0.7407662270031217,0.7295862657487088,0.5237204203086328,0.489060498974234
2024-01-31,0.7314125440899617,0.7261265935121062,0.5207465008512923,0.48905807312985894
2024-02-01,0.7237924291099425,0.7261672310261763,0.5277297409941822,0.49193792349097776
2024-02-02,0.7450451063958987,0.7280672290436149,0.43803497911753975,0.4113211249353518
2024-02-05,0.7243855944170863,0.714132985652991,0.21129450168077943,0.19736895492364356
2024-02-06,0.6835689972312081,0.7095448741181299,0.3187845189032522,0.32953848854353707
2024-02-07,0.6848856028122132,0.7095641258481975,0.33886284748892687,0.3510624001560866
2024-02-08,0.6909010149347808,0.7135321761149357,0.36717574464097796,0.38365014714990375
2024-02-09,0.691094829001849,0.7138802219811942,0.3909111761826257,0.4085116745208869
2024-02-12,0.6862387362365857,0.7139811693218077,0.41105448080242196,0.4294307443507624
2024-02-13,0.6873299425806603,0.7150587041228632,0.42498054705252114,0.442315527075473
2024-02-14,0.7121637399922918,0.6991097829270672,0.4246884906377126,0.42861806974531863
2024-02-15,0.7021881329018796,0.6883724393456396,0.3611008235395048,0.38336243781348983
2024-02-16,0.7039767702758939,0.6882073323473682,0.412234773925458,0.4320006343735168
2024-02-20,0.6996086651196425,0.6859581078391636,0.4200990954874936,0.4449782281947516
2024-02-21,0.7171872883767058,0.68979553828081,0.4334041697646876,0.45919161954507703
2024-02-22,0.7169914129063772,0.6882241512003683,0.44027049159888976,0.4628196048041661
2024-02-23,0.71296921334546,0.6971776723036535,0.42443973235824023,0.4518921713019092
2024-02-26,0.6975569758313911,0.6958627844553265,0.4329167362052831,0.4606727963546079
2024-02-27,0.6942690320828675,0.6964051217949639,0.4514749898235027,0.47268175828886383
2024-02-28,0.6951266538215282,0.6962187564609618,0.4545274583146455,0.4752251147129345
2024-02-29,0.6751111732561542,0.694054116857722,0.4578106223598573,0.4784495284259491
2024-03-01,0.6751505229040061,0.6946083398931451,0.42066138752270305,0.433975434119915
2024-03-04,0.6802243395821584,0.6959377966029939,0.39726254758236257,0.40715860907139706
2024-03-05,0.6865016146719167,0.6896203867948615,0.4351699865018846,0.4486849993954771
2024-03-06,0.685189040321962,0.6888053616346956,0.44508290499422787,0.45827547480064457
