Date,r_USDINR_Spot,r_EURINR_Spot,r_USDINR_Futures,r_EURINR_Futures,r_VIX
2015-02-02,-0.004865088512099637,-0.00014284387902561472,-0.0017692003006402372,-0.00326218288020012,-0.07627458152447988
2015-02-03,-0.0019948917940369143,0.010183466995300717,-0.002094916566658216,-0.0007105805742037569,-0.1143791596618341
2015-02-04,0.003985811916544268,-0.007793519328310813,0.0008062565945100246,0.008775710955487511,0.05609995812409892
2015-02-05,-0.0021529579100738223,0.00927718864336631,-0.0011289413343219918,-0.0016925250866911782,-0.0841884050532427
2015-02-06,0.004220609601379199,-0.009947224522480126,-0.0006456820240465016,-0.00042357925095022104,0.025777642896828285
2015-02-09,0.002884330748671188,0.00367965398012046,0.0072399962296877,-0.003678555364859598,0.07034148935824504
2015-02-10,0.0028599910236503127,0.0025542616820342164,-0.00048103905361179675,-0.003123227978896119,-0.07381773851360596
2015-02-11,0.0008820534775503188,0.001982147172075071,0.001442423521185788,0.003406674692811841,-0.015794420176081264
2015-02-12,-0.003725954267168048,0.002387512612531386,-0.00048057670127971944,0.002547411510608179,-0.10039383442464694
2015-02-13,-0.0011913771473417657,-0.0027270303591316524,-0.0017640931525441182,0.004794143418044815,-0.04329680575332419
2015-02-16,0.00046706018677873803,-0.002259311765020032,-0.0003210788276097654,0.00028129395403470877,0.0
2015-02-18,-0.0007731834601769559,0.003001857173964568,0.001764659156897401,-0.002111635894102588,0.05044201315796853
2015-02-20,0.0008375884387041949,-0.0006505813031775586,-0.0017646591568974098,-0.005794659702501021,-0.07734946607789275
2015-02-23,0.0008690614683709736,-0.0033586324963417427,0.0008025038549615202,-0.0018443645719164704,0.018018505502678212
2015-02-24,0.00011260083819107029,0.0008655367932319646,-0.0011236858072970685,0.0005678591861849099,-0.06161240346818252
2015-02-25,-0.004966470476801979,-0.0031607048043702387,-0.003378653362845908,-0.0004258641557724047,0.010897310889166048
2015-02-26,-0.002119861951040436,-0.016620364581019804,0.0011274866298701977,0.001277048772350445,0.005045055745827997
2015-02-27,-0.0011670314964223943,-0.0013824903672371236,0.0016084931890046692,-0.008687657005775647,-0.04184096544787386
2015-03-02,0.003286893447462906,0.0023006810900594774,0.0008032774148696749,0.0002860411918817228,-0.022745483988970857
2015-03-03,-0.0006953372261303916,-0.001460825553757764,0.0,-0.005305052229693229,0.06098543726325025
2015-03-04,0.007895117060717221,-0.0008108832555292209,0.0043265831453346395,0.0008621928972105424,0.026345418340003795
2015-03-05,0.001154864191230507,-0.00323559139521833,-0.000959846498264721,-0.00749715160966882,-0.013442013504096042
2015-03-09,0.004047519823954936,-0.01223124929843827,0.005586160883425154,-0.010328115663619427,0.07013182377408263
2015-03-10,0.001372114387935993,-0.012956330229743924,0.0027020599766770822,-0.009254564766205637,0.1027675153019963
2015-03-11,0.0009721038844899115,-0.013247213895178576,0.0011104942840271153,-0.01576709742222091,0.010727158884133238
2015-03-12,-0.003814148875182464,0.0045505307105186635,-0.005246017913027774,-0.00014993627736321896,-0.08987152842269353
2015-03-13,0.00861298856817631,-0.004678908655364006,0.007305098390279767,0.004040409537004906,0.03692335410459789
2015-03-16,-0.0048147682058284616,0.0021575795207135666,-0.002852164823683206,-0.007946664504069898,-0.02467698771244058
2015-03-17,-0.0025039286464921644,0.00033152252019624817,-0.0020649677737166177,0.0048055356032089555,0.003197956035316293
2015-03-18,0.0012447737076936559,0.026208606874389213,-0.0001590204344608921,0.0008984726570270302,-0.11419751729378658
2015-03-19,-0.0033708525340186476,-0.022561588683898362,-0.003664466778873834,0.0029890920476935215,0.007132697857427287
2015-03-20,-0.0012810249950388106,0.013805249291938534,-0.0015974444291571755,-0.0019418932086332622,-0.07755823434587461
2015-03-23,-0.0028883203648250653,0.008550840837065856,-0.0028818463748889263,0.014252022707201632,0.029514060513164006
2015-03-24,0.0018943960456780007,6.605771244535307e-05,-0.0006415397172719733,0.008951560250810222,0.015538603427779166
2015-03-25,0.0010259699521312012,0.0051391035505627255,0.0012826681251922837,0.0017515695618150267,0.12542224387526374
2015-03-26,0.006770593058757517,-0.0012420909638344866,0.0051142831627003565,0.006686071419111137,0.02304839543629109
2015-03-27,-0.0049936685907300184,-0.004579819463351,-0.001914792351432752,-0.012830034572842543,-0.047303927394517054
2015-03-30,-0.0002079451032423069,-0.005316850405718801,0.006209716634313529,0.0014662759225274112,-0.03786794574230762
2015-03-31,-0.003509590865287455,-0.012960749789505305,-0.0027020599766770935,-0.010605490478318555,0.05236095304487433
2015-04-06,-0.0013494194725462087,0.016432425243912745,-0.005426122473865315,0.01703168463903962,-0.03663413317978027
2015-04-07,0.0014296846687976519,-0.008609116706430123,0.0009596929719296926,-0.010684331422059028,0.002710028758865158
2015-04-08,-0.0016708441648176058,-0.004746291112995023,-0.0006396929691991068,-0.00029433407129337804,-0.05564717871439148
2015-04-09,0.001831355232400314,-0.009530589275106732,-0.0008001920887884544,-0.009910590694923418,-0.06577915688385563
2015-04-10,-0.00048161051483948397,-0.005707743578308383,0.0009601536983432867,-0.01618497790668293,-0.03974032864951411
2015-04-13,0.0021013297434850195,-0.0013486383072262922,0.0030344190016536265,-0.002420209924351384,0.10265415406008337
2015-04-15,-0.0007534043813375099,0.010453451049467325,-0.002394828317873837,0.0037790083518822624,-0.08219710707056266
2015-04-16,-0.0006897824250655985,0.006312472346317758,-0.0022403593944222665,0.010356565363596587,-0.018868484304382805
2015-04-17,0.0037319751484098467,0.007945920717716323,0.0008007046628450788,0.007734680833356199,0.09747234280882015
2015-04-20,0.009340731625977487,0.0030796637451515918,0.008765694823650066,0.0025157245972473705,-0.04340512153854427
2015-04-21,-0.004492391931945888,-0.004863851580338457,-0.0007937138284772857,-0.005632147687869768,-0.0037664827954768934
2015-04-22,0.002002639065926594,0.0011626745784281817,-0.00047653086439047626,0.007256603483328949,-0.04160846723086843
2015-04-23,0.004704698318840286,0.013971747721633973,0.0066508558699095895,0.003976148379639638,-0.018261722260081163
2015-04-24,0.006065924271020765,0.0104551060173314,0.003937943184542341,0.011979690382716533,-0.015341439363338212
2015-04-27,-0.004976074767696963,-0.003646866220826679,-0.0015733168758293853,-0.0002904865670390063,0.06535185993799955
2015-04-28,-0.0046361209313728596,0.00387796487931654,-0.002838223286544508,0.0013065255542217364,-0.055635184299427105
2015-04-29,0.006434143591379638,0.019988798460219833,0.005197271325607887,0.015260877803887683,0.07600556048656538
2015-04-30,0.0010867084045134057,0.00941891224989261,0.0021967684967974105,0.01854395271880195,0.08308283391442033
2015-05-05,-0.0025217116863474635,-0.005970754797018292,-0.0007840063122086455,-0.005061878074774469,-0.016632400049142033
2015-05-06,0.003968821651820896,0.018775990487409785,0.0014107691030178912,0.010098262531332006,0.05704193838701853
